,timestamp,magnitude,depth,MMI_scale,lat,lon,location
214,2018/05/02 12:34:36,2.5,11,-,36.56 N ,127.64 E ,충북 보은군 북서쪽 11km 지역
215,2018/05/01 19:09:05,2.0,15,-,35.77 N ,129.20 E ,경북 경주시 남쪽 8km 지역
216,2018/04/24 05:20:32,2.5,10,-,37.06 N ,125.92 E ,인천 옹진군 덕적도 남서쪽 27km 해역
217,2018/04/23 13:10:21,2.4,17,-,33.21 N ,126.40 E ,제주 서귀포시 서남서쪽 16km 해역
218,2018/04/23 04:31:17,2.3,-,-,41.35 N ,129.12 E ,북한 함경북도 길주 북북서쪽 47km 지역
219,2018/04/09 12:15:40,2.4,16,-,35.76 N ,129.19 E ,경북 경주시 남남서쪽 8km 지역
220,2018/04/06 21:09:11,2.6,24,-,36.08 N ,129.82 E ,경북 포항시 북구 동쪽 41km 해역
221,2018/03/31 00:20:12,2.0,8,-,36.10 N ,129.36 E ,경북 포항시 북구 북쪽 7km 지역
222,2018/03/26 09:40:39,2.7,-,-,37.78 N ,124.83 E ,인천 백령도 남동쪽 24km 해역
223,2018/03/16 18:02:47,2.7,12,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 7km 지역
224,2018/03/16 00:23:23,2.0,6,-,36.98 N ,128.42 E ,충북 단양군 동남동쪽 5km 지역
225,2018/03/10 01:31:39,2.8,6,-,36.14 N ,129.37 E ,경북 포항시 북구 북쪽 11km 지역
226,2018/03/09 18:05:37,2.2,7,-,36.95 N ,126.45 E ,충남 서산시 북쪽 18km 지역
227,2018/03/08 23:38:41,2.0,17,-,35.31 N ,127.32 E ,전남 곡성군 북동쪽 4km 지역
228,2018/03/08 23:16:47,2.0,15,-,35.30 N ,127.33 E ,전남 곡성군 동북동쪽 4km 지역
229,2018/03/04 00:52:47,2.6,9,-,38.13 N ,130.33 E ,경북 울릉군 북서쪽 88km 해역
230,2018/02/27 13:14:45,2.4,13,-,37.09 N ,124.87 E ,충남 태안군 서격렬비도 북서쪽 80km 해역
231,2018/02/26 11:06:57,2.5,6,-,34.52 N ,125.32 E ,전남 신안군 흑산면 남서쪽 20km 해역
232,2018/02/26 02:23:03,2.4,16,-,33.97 N ,126.87 E ,전남 완도군 남남동쪽 39km 해역
233,2018/02/18 03:34:27,2.4,9,-,36.07 N ,129.33 E ,경북 포항시 북구 북서쪽 4km 지역
234,2018/02/17 23:38:56,2.2,9,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 6km 지역
235,2018/02/17 21:31:18,2.6,8,-,36.09 N ,129.33 E ,경북 포항시 북구 북북서쪽 6km 지역
236,2018/02/17 18:35:48,2.0,12,-,36.11 N ,129.37 E ,경북 포항시 북구 북쪽 8km 지역
237,2018/02/14 02:14:26,2.3,8,-,37.80 N ,125.38 E ,북한 황해남도 옹진 남쪽 14km 해역
238,2018/02/13 10:32:10,2.5,10,-,36.12 N ,129.37 E ,경북 포항시 북구 북쪽 9km 지역
239,2018/02/13 06:30:12,2.6,9,-,36.07 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
240,2018/02/11 12:49:37,2.4,16,-,36.08 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
241,2018/02/11 12:14:28,2.1,9,-,36.08 N ,129.32 E ,경북 포항시 북구 북서쪽 6km 지역
242,2018/02/11 08:11:38,2.1,13,-,36.08 N ,129.34 E ,경북 포항시 북구 북북서쪽 5km 지역
243,2018/02/11 05:38:06,2.1,10,-,36.09 N ,129.32 E ,경북 포항시 북구 북서쪽 7km 지역
