addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,132399,237330,종로구,경복궁,3,서울특별시,201112
0,3133,21267,종로구,창경궁,4,서울특별시,201112
0,18226,24223,종로구,종묘,5,서울특별시,201112
0,0,233828,용산구,국립중앙박물관,6,서울특별시,201112
0,0,93554,종로구,서울역사박물관,7,서울특별시,201112
0,13935,52140,중구,덕수궁,8,서울특별시,201112
0,0,61115,중구,서울시립미술관 본관,9,서울특별시,201112
0,10,1885,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201112
0,0,32412,서대문구,서대문형무소역사관,11,서울특별시,201112
0,0,19308,서대문구,서대문자연사박물관,12,서울특별시,201112
0,5214,6956,마포구,트릭아이미술관,13,서울특별시,201112
0,333,1823,서초구,헌릉ㆍ인릉,14,서울특별시,201112
0,4704,16634,강남구,선릉·정릉,15,서울특별시,201112
0,52484,642290,송파구,롯데월드,16,서울특별시,201112
0,32210,31760,종로구,창덕궁,1,서울특별시,201201
0,1093,6907,종로구,운현궁,2,서울특별시,201201
0,109310,114505,종로구,경복궁,3,서울특별시,201201
0,2295,17458,종로구,창경궁,4,서울특별시,201201
0,12293,5856,종로구,종묘,5,서울특별시,201201
0,6106,229035,용산구,국립중앙박물관,6,서울특별시,201201
0,1161,93801,종로구,서울역사박물관,7,서울특별시,201201
0,14033,40041,중구,덕수궁,8,서울특별시,201201
0,0,66605,중구,서울시립미술관 본관,9,서울특별시,201201
0,214,904,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201201
0,4783,17410,서대문구,서대문형무소역사관,11,서울특별시,201201
0,0,29042,서대문구,서대문자연사박물관,12,서울특별시,201201
0,8356,12797,마포구,트릭아이미술관,13,서울특별시,201201
0,154,1236,서초구,헌릉ㆍ인릉,14,서울특별시,201201
0,3204,10750,강남구,선릉·정릉,15,서울특별시,201201
0,61180,528011,송파구,롯데월드,16,서울특별시,201201
0,33764,37326,종로구,창덕궁,1,서울특별시,201202
0,1130,8111,종로구,운현궁,2,서울특별시,201202
0,79221,169684,종로구,경복궁,3,서울특별시,201202
0,2631,20267,종로구,창경궁,4,서울특별시,201202
0,13879,5016,종로구,종묘,5,서울특별시,201202
0,6973,161943,용산구,국립중앙박물관,6,서울특별시,201202
0,1090,79407,종로구,서울역사박물관,7,서울특별시,201202
0,11564,36900,중구,덕수궁,8,서울특별시,201202
0,0,68784,중구,서울시립미술관 본관,9,서울특별시,201202
0,143,796,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201202
0,4557,52249,서대문구,서대문형무소역사관,11,서울특별시,201202
0,0,18713,서대문구,서대문자연사박물관,12,서울특별시,201202
0,8536,15243,마포구,트릭아이미술관,13,서울특별시,201202
0,229,1273,서초구,헌릉ㆍ인릉,14,서울특별시,201202
0,4310,11893,강남구,선릉·정릉,15,서울특별시,201202
0,32489,479020,송파구,롯데월드,16,서울특별시,201202
0,50318,50573,종로구,창덕궁,1,서울특별시,201203
0,1602,10487,종로구,운현궁,2,서울특별시,201203
0,100000,233028,종로구,경복궁,3,서울특별시,201203
0,3861,27647,종로구,창경궁,4,서울특별시,201203
0,20341,21429,종로구,종묘,5,서울특별시,201203
0,9021,154580,용산구,국립중앙박물관,6,서울특별시,201203
0,1441,106514,종로구,서울역사박물관,7,서울특별시,201203
0,11675,40244,중구,덕수궁,8,서울특별시,201203
0,0,45941,중구,서울시립미술관 본관,9,서울특별시,201203
